date,money
2009-1-1,662990.7890761177
2009-1-2,655928.5774555949
2009-1-3,672985.746198903
2009-1-4,661578.5686460622
2009-1-5,663610.2080468686
2009-1-6,668400.2940826146
2009-1-7,703557.8521450764
2009-1-8,701434.1918297173
2009-1-9,696478.035253501
2009-1-10,713422.2257059128
2009-1-11,745734.813756533
2009-1-12,718336.3519430858
2009-1-13,730246.2356561121
2009-1-14,721077.0124650305
2009-1-15,761084.1529836676
2009-1-16,771422.5299172262
2009-1-17,745713.3064497997
2009-1-18,772455.8697958904
2009-1-19,794385.9344755494
2009-1-20,745413.3831944142
2009-1-21,801758.7367695257
2009-1-22,810436.6678187725
2009-1-23,795178.8083903162
2009-1-24,827109.7366209358
2009-1-25,863538.4071406213
2009-1-26,836277.8562723438
2009-1-27,861638.8545600737
2009-1-28,869201.391240801
2009-1-29,844866.8860418489
2009-1-30,837457.0982697593
2009-1-31,921115.6956101485
2009-2-1,892142.9854667106
2009-2-2,825519.9763922094
2009-2-3,877906.2879819723
2009-2-4,809633.3888522239
2009-2-5,821970.2768337997
2009-2-6,879984.4235767954
2009-2-7,861164.1290015973
2009-2-8,848242.2677062266
2009-2-9,852116.0180930633
2009-2-10,841850.9049655029
2009-2-11,864651.7143027947
2009-2-12,876420.6765143806
2009-2-13,894172.5757694722
2009-2-14,857196.098590113
2009-2-15,851137.8005184694
2009-2-16,891237.3890779407
2009-2-17,836975.9998258004
2009-2-18,881829.8737005885
2009-2-19,882813.3318578532
2009-2-20,861894.2011501344
2009-2-21,869857.8216480408
2009-2-22,869016.299400623
2009-2-23,884836.1029305705
2009-2-24,919398.5511425723
2009-2-25,867597.0700343045
2009-2-26,901151.1864446484
2009-2-27,864188.3133841468
2009-2-28,854990.2273367541
2009-3-1,884125.5609106576
2009-3-2,834466.4504895903
2009-3-3,861818.5246820932
2009-3-4,856162.5936261646
2009-3-5,873819.5717495448
2009-3-6,844224.6515394832
2009-3-7,848397.5306163079
2009-3-8,876772.8057268909
2009-3-9,876683.5478084703
2009-3-10,861990.5030464614
2009-3-11,816942.2086411347
2009-3-12,870036.7603020932
2009-3-13,833227.4224806947
2009-3-14,835273.6210946754
2009-3-15,851250.1693128863
2009-3-16,892013.7928239309
2009-3-17,815626.4534662475
2009-3-18,823176.8185572722
2009-3-19,835521.5888800895
2009-3-20,839672.8896342198
2009-3-21,812011.1370247309
2009-3-22,811845.3737771263
2009-3-23,814236.3887628915
2009-3-24,816355.0227721994
2009-3-25,834387.5299295369
2009-3-26,809899.8724982843
2009-3-27,805646.9325283949
2009-3-28,839460.8211899505
2009-3-29,828751.8700559766
2009-3-30,806088.959112076
2009-3-31,840922.657797793
2009-4-1,778429.3752889306
2009-4-2,752263.0510165171
2009-4-3,784646.3800495847
2009-4-4,742801.1154181059
2009-4-5,795895.2024869106
2009-4-6,746394.8570748296
2009-4-7,709510.4655164207
2009-4-8,726659.2397651091
2009-4-9,680651.8808044025
2009-4-10,731543.3121238291
2009-4-11,720723.2419488184
2009-4-12,704735.4033289396
2009-4-13,664576.5739135167
2009-4-14,680312.5934901331
2009-4-15,648526.4204971307
2009-4-16,672668.3603972264
2009-4-17,642526.2143105341
2009-4-18,655344.0016565518
2009-4-19,646419.071405991
2009-4-20,622017.286675964
2009-4-21,618432.4045783704
2009-4-22,580698.4241490823
2009-4-23,595561.4450796526
2009-4-24,594296.6279108879
2009-4-25,597520.1119747437
2009-4-26,574417.6474971923
2009-4-27,566128.0640176727
2009-4-28,559288.1373471452
2009-4-29,517386.18565491383
2009-4-30,555778.8830561485
2009-5-1,530487.8590041714
2009-5-2,559916.408021923
2009-5-3,547198.766497831
2009-5-4,545045.228061475
2009-5-5,562608.2115079379
2009-5-6,597157.3181603077
2009-5-7,594422.3413777306
2009-5-8,603659.8558633381
2009-5-9,589086.6492523854
2009-5-10,610546.6517356108
2009-5-11,613096.0582962192
2009-5-12,613264.9376627054
2009-5-13,622724.9480108289
2009-5-14,624175.3085699198
2009-5-15,648923.0302302315
2009-5-16,614827.380968255
2009-5-17,648977.7803767829
2009-5-18,629404.9915429266
2009-5-19,632525.4166048932
2009-5-20,684413.9600050037
2009-5-21,649022.5346389004
2009-5-22,707977.9193545968
2009-5-23,684949.3302215463
2009-5-24,719780.1355619852
2009-5-25,688739.6910683075
2009-5-26,716259.0927873452
2009-5-27,681340.1969358543
2009-5-28,707330.8053944396
2009-5-29,717746.533615561
2009-5-30,738080.6896903798
2009-5-31,737166.209153781
2009-6-1,718641.082901351
2009-6-2,736944.7158049109
2009-6-3,731314.7863101669
2009-6-4,754404.5931072435
2009-6-5,773803.91345869
2009-6-6,718915.2604453138
2009-6-7,776595.6271267515
2009-6-8,759049.1239202116
2009-6-9,763301.0097434515
2009-6-10,753759.1891113423
2009-6-11,794048.9765098122
2009-6-12,799895.1824990057
2009-6-13,774187.2275537294
2009-6-14,760745.0200239561
2009-6-15,801928.9885403694
2009-6-16,830197.8191183783
2009-6-17,781850.7399199342
2009-6-18,824301.6079056778
2009-6-19,827063.1998755644
2009-6-20,841101.3119527017
2009-6-21,827557.4157686577
2009-6-22,803350.750458524
2009-6-23,829195.9350375574
2009-6-24,818023.1499614718
2009-6-25,818926.1509027745
2009-6-26,831628.0054541924
2009-6-27,796574.1037605156
2009-6-28,858019.6181431987
2009-6-29,866451.4483168641
2009-6-30,874080.377631427
2009-7-1,822901.877200412
2009-7-2,842939.0205491224
2009-7-3,810278.0495935028
2009-7-4,830934.4635070025
2009-7-5,851671.8244701261
2009-7-6,808640.4067663212
2009-7-7,814757.7464720927
2009-7-8,773679.1156643736
2009-7-9,848340.1369722709
2009-7-10,776387.3142754505
2009-7-11,803026.2551477745
2009-7-12,804903.9004007792
2009-7-13,803656.5150828502
2009-7-14,765591.9340782702
2009-7-15,761391.2571890487
2009-7-16,752336.8587517889
2009-7-17,777434.4613830112
2009-7-18,799500.1126591907
2009-7-19,785938.6091130816
2009-7-20,767873.6188232972
2009-7-21,772820.4190208666
2009-7-22,763402.233937216
2009-7-23,752668.7189240418
2009-7-24,737176.9095096147
2009-7-25,772183.8281462754
2009-7-26,714686.490004257
2009-7-27,765035.2577097497
2009-7-28,769886.674776382
2009-7-29,737678.4414361141
2009-7-30,725306.0427135809
2009-7-31,745879.4553452582
2009-8-1,720394.4451183206
2009-8-2,726651.175730829
2009-8-3,720306.5008372375
2009-8-4,728687.621390552
2009-8-5,737065.4497442084
2009-8-6,708633.8784204451
2009-8-7,732624.5907091675
2009-8-8,722008.5439661698
2009-8-9,761886.965747226
2009-8-10,743487.2998524894
2009-8-11,724795.5838589388
2009-8-12,718622.3807729258
2009-8-13,740475.1716478319
2009-8-14,761358.4291694774
2009-8-15,755114.0129617029
2009-8-16,774413.99118376
2009-8-17,764567.7592531912
2009-8-18,755755.9660101202
2009-8-19,754830.0228696371
2009-8-20,797416.6662065611
2009-8-21,798556.6486187557
2009-8-22,772547.4943188818
2009-8-23,810820.9079958689
2009-8-24,795818.980367456
2009-8-25,788233.381187866
2009-8-26,790420.5096563919
2009-8-27,777076.7530798464
2009-8-28,807286.2606819376
2009-8-29,793146.3866640578
2009-8-30,775206.1064207715
2009-8-31,807770.9512818943
2009-9-1,781763.4107678406
2009-9-2,794183.9803258061
2009-9-3,774559.0043092073
2009-9-4,803491.7933841264
2009-9-5,823083.4536441583
2009-9-6,809662.4101570217
2009-9-7,789665.9030773804
2009-9-8,787764.1286643188
2009-9-9,805256.1310524727
2009-9-10,813430.9089926188
2009-9-11,804360.8021219764
2009-9-12,837161.5417559176
2009-9-13,831029.3534510639
2009-9-14,818474.8804161433
2009-9-15,835275.3465278635
2009-9-16,813635.0820084352
2009-9-17,838668.4994797619
2009-9-18,898832.6299287102
2009-9-19,859474.7841339377
2009-9-20,861561.0739864054
2009-9-21,825001.6191604076
2009-9-22,852220.7304191086
2009-9-23,867547.4415159129
2009-9-24,867385.7349092042
2009-9-25,837996.4813141505
2009-9-26,853158.6008041322
2009-9-27,853672.1626321725
2009-9-28,871896.3961231417
2009-9-29,905504.4376945469
2009-9-30,884401.9362725513
2009-10-1,872937.9581781513
2009-10-2,863114.4300029294
2009-10-3,838345.6825644326
2009-10-4,855694.3082775192
2009-10-5,853644.8040355096
2009-10-6,824799.8341933824
2009-10-7,870446.6519289694
2009-10-8,872116.4198652322
2009-10-9,839820.9073607094
2009-10-10,827493.2365019241
2009-10-11,859754.9759813977
2009-10-12,857429.1931301204
2009-10-13,849661.5350555319
2009-10-14,882162.1914444414
2009-10-15,874274.3208255465
2009-10-16,883990.3974561215
2009-10-17,839712.001486702
2009-10-18,862743.0387251094
2009-10-19,844035.2708682264
2009-10-20,879815.6564683531
2009-10-21,857890.9124829964
2009-10-22,884324.4834272501
2009-10-23,808759.7151784209
2009-10-24,838634.9086023582
2009-10-25,833402.3105281922
2009-10-26,867087.5823255272
2009-10-27,843082.9551025634
2009-10-28,861087.5814270609
2009-10-29,852377.8169524691
2009-10-30,856335.0256787349
2009-10-31,856156.3787011993
2009-11-1,871547.6058358295
2009-11-2,843172.119100797
2009-11-3,845799.8712418412
2009-11-4,818105.7938401027
2009-11-5,821648.4359360364
2009-11-6,821420.6276225738
2009-11-7,833436.3376639806
2009-11-8,820906.9639137882
2009-11-9,790755.760913314
2009-11-10,774356.6209591839
2009-11-11,790177.6985268868
2009-11-12,803791.6736168294
2009-11-13,777601.1108976612
2009-11-14,809887.3881107321
2009-11-15,791161.0628178288
2009-11-16,774537.1647355244
2009-11-17,741933.1174546287
2009-11-18,732671.9462910206
2009-11-19,757114.3654295746
2009-11-20,723024.1238184617
2009-11-21,749701.9737105636
2009-11-22,761394.1388297296
2009-11-23,762418.5318461433
2009-11-24,737335.932675869
2009-11-25,750534.981451953
2009-11-26,748147.2430439254
2009-11-27,682158.1749581636
2009-11-28,724770.6666567432
2009-11-29,729106.0491336212
2009-11-30,700339.3176299442
2009-12-1,694616.7352819921
2009-12-2,713970.2662639343
2009-12-3,656322.0124672435
2009-12-4,690410.4131131293
2009-12-5,692229.6046485069
2009-12-6,661497.3294061003
2009-12-7,699517.3600483056
2009-12-8,648233.0399818755
