date,money
2009-1-1,2081458.2016873488
2009-1-2,2157159.5091427597
2009-1-3,2161921.3443128993
2009-1-4,2206397.5339238825
2009-1-5,2223217.4131971817
2009-1-6,2235544.264119381
2009-1-7,2274631.802305219
2009-1-8,2352513.147811765
2009-1-9,2307096.630764177
2009-1-10,2342073.480137009
2009-1-11,2375351.299485306
2009-1-12,2398628.1630218113
2009-1-13,2390781.1059255647
2009-1-14,2451464.621222869
2009-1-15,2522549.9680214333
2009-1-16,2517598.261174619
2009-1-17,2526790.804176075
2009-1-18,2577257.513529294
2009-1-19,2573901.851768878
2009-1-20,2571106.814774886
2009-1-21,2573440.3183350675
2009-1-22,2666919.4479285
2009-1-23,2599828.768126564
2009-1-24,2758237.974161984
2009-1-25,2767819.922440215
2009-1-26,2794969.2179286373
2009-1-27,2775679.101365402
2009-1-28,2808633.908914485
2009-1-29,2836345.1753629786
2009-1-30,2873685.4916136027
2009-1-31,2872000.8938211133
2009-2-1,2855683.3654784784
2009-2-2,2725585.3945255685
2009-2-3,2805532.0895071034
2009-2-4,2855938.3262094394
2009-2-5,2801659.803697844
2009-2-6,2794909.2574997246
2009-2-7,2844775.373473444
2009-2-8,2790371.0532610808
2009-2-9,2772561.8706101417
2009-2-10,2873071.4079078236
2009-2-11,2872060.1946569583
2009-2-12,2849059.0328430976
2009-2-13,2909560.529114181
2009-2-14,2887744.5201439415
2009-2-15,2886078.1005730755
2009-2-16,2849840.216116401
2009-2-17,2917776.1567237317
2009-2-18,2932059.4497999055
2009-2-19,2875350.971002146
2009-2-20,2887529.9187061847
2009-2-21,2877413.5088174855
2009-2-22,2851414.6401309525
2009-2-23,2851396.208514709
2009-2-24,2819551.5461052763
2009-2-25,2953577.467807185
2009-2-26,2921877.1569136325
2009-2-27,2825643.617216559
2009-2-28,2914348.5089863464
2009-3-1,2817654.4978382364
2009-3-2,2767302.4687597747
2009-3-3,2860395.950886894
2009-3-4,2828714.6283896207
2009-3-5,2859568.941289771
2009-3-6,2807142.2755153254
2009-3-7,2735419.5343616568
2009-3-8,2791461.986920684
2009-3-9,2810967.4127955036
2009-3-10,2765078.9962821133
2009-3-11,2774960.00416484
2009-3-12,2731066.819840881
2009-3-13,2821430.5826195003
2009-3-14,2774455.3784102537
2009-3-15,2745180.8985860357
2009-3-16,2756490.6502502984
2009-3-17,2750078.92251717
2009-3-18,2786915.8703214093
2009-3-19,2751204.2547454573
2009-3-20,2645376.136922396
2009-3-21,2720066.892699815
2009-3-22,2747369.433499026
2009-3-23,2754500.6739444863
2009-3-24,2673688.6009338764
2009-3-25,2718586.492807415
2009-3-26,2679743.829974979
2009-3-27,2770548.094244172
2009-3-28,2707285.39586321
2009-3-29,2668767.5264066085
2009-3-30,2702689.248587407
2009-3-31,2685493.3105370803
2009-4-1,2587548.5239118007
2009-4-2,2548653.188539989
2009-4-3,2563670.706430787
2009-4-4,2467402.3496369245
2009-4-5,2504102.9961973527
2009-4-6,2421647.7328169374
2009-4-7,2390473.270124166
2009-4-8,2423446.3855515854
2009-4-9,2384234.5440069335
2009-4-10,2325660.284332749
2009-4-11,2307066.4617019966
2009-4-12,2279450.520232675
2009-4-13,2294441.029701466
2009-4-14,2306926.1530059585
2009-4-15,2232719.732841888
2009-4-16,2182056.6921933694
2009-4-17,2155714.209892107
2009-4-18,2131867.5367024895
2009-4-19,2096769.4692047308
2009-4-20,2085727.1956902067
2009-4-21,2059793.527559335
2009-4-22,2026075.670634225
2009-4-23,2028319.1824008648
2009-4-24,1992682.50983788
2009-4-25,1952369.5516401723
2009-4-26,1942255.530214664
2009-4-27,1904233.9781171149
2009-4-28,1885305.2968690286
2009-4-29,1817710.4439288543
2009-4-30,1841558.5975588898
2009-5-1,1771613.6955622835
2009-5-2,1756033.1566825036
2009-5-3,1822042.4880220105
2009-5-4,1820793.947497737
2009-5-5,1860314.272612697
2009-5-6,1901999.0798988151
2009-5-7,1899909.8413249648
2009-5-8,1982228.2644112024
2009-5-9,1939729.4596181132
2009-5-10,1950415.2256505357
2009-5-11,2018096.5301933817
2009-5-12,2008240.3535404236
